"Building ID","Address","Zip","Cohort - Sector","Cohort - Size","Verification Year","Community Area Name","Community Area Number","Ward","Latitude","Longitude","Location"
"251626","4929 N Sawyer Ave","60625","Municipal","> 50,000 Sq Ft","2025","Albany Park","14","33","41.9711","-87.70939","(41.9711, -87.70939)"
"250014","2949 E 131st St","60633","Municipal","> 50,000 Sq Ft","2025","Hegewisch","55","10","41.65732","-87.55272","(41.65732, -87.55272)"
"105044","2018 2040 W Farwell Ave","60645","Residential","> 50,000 Sq Ft","2025","West Ridge","2","50","42.0088","-87.69503","(42.0088, -87.69503)"
"254316","2544 W Montrose Ave","60618","Commercial","> 50,000 Sq Ft","2027","Lincoln Square","4","47","41.94662","-87.70269","(41.94662, -87.70269)"
"251445","4619 S Wolcott Ave","60609","Municipal","> 50,000 Sq Ft","2025","New City","61","15","41.80974","-87.6719","(41.80974, -87.6719)"
"100730","525 W Van Buren","60607","Commercial","> 250,000 Sq Ft","2024","Near West Side","28","25","41.87631","-87.64018","(41.87631, -87.64018)"
"102946","7947  S South Chicago Ave","60617","Residential","> 50,000 Sq Ft","2026","South Chicago","46","8","41.72724","-87.55514","(41.72724, -87.55514)"
"160266","469 West Huron St","60654","Residential","> 250,000 Sq F","2027","Near North Side","8","42","41.89466","-87.64077","(41.89466, -87.64077)"
"251364","1424 N Cleaver Street","60642","Municipal","> 50,000 Sq Ft","2025","West Town","24","2","41.9075","-87.66398","(41.9075, -87.66398)"
"254064","1411 N State Pkwy","60610","Residential","> 50,000 Sq Ft","2025","Near North Side","8","43","41.88425","-87.63245","(41.88425, -87.63245)"
"254226","525 W Oakdale Ave","60657","Residential","> 50,000 Sq Ft","2025","Lake View","6","44","41.88425","-87.63245","(41.88425, -87.63245)"
"250090","3700 W Congress Pkwy","60624","Residential","> 50,000 Sq Ft","2027","East Garfield Park","27","28","41.87474","-87.71838","(41.87474, -87.71838)"
"140247","3443  W Addison St","60618","Commercial","> 50,000 Sq Ft","2027","Avondale","21","35","41.94672","-87.7032","(41.94672, -87.7032)"
"255947","27 N Aberdeen St","60607","Residential","> 50,000 Sq Ft","2025","Near West Side","28","25","41.88","-87.65484","(41.88, -87.65484)"
"172296","412  S Wells St","60607","Residential","> 50,000 Sq Ft","2025","Loop","32","25","41.87399","-87.65168","(41.87399, -87.65168)"
"172719","3940  W Bryn Mawr Ave","60659","Residential","> 50,000 Sq Ft","2025","North Park","13","39","41.99046","-87.70621","(41.99046, -87.70621)"
"256776","900 E Grand Ave","60611","Residential","> 50,000 Sq Ft","2026","Near North Side","8","42","41.89535","-87.62278","(41.89535, -87.62278)"
"241405","501 N Clinton St","60654","Residential","> 250,000 Sq F","2027","West Town","24","42","41.89102","-87.64219","(41.89102, -87.64219)"
"100417","4200 W 115th St","60655","Commercial","> 250,000 Sq Ft","2025","Mount Greenwood","74","19","41.6854","-87.72369","(41.6854, -87.72369)"
"158402","172 W Adams St","60603","Residential","> 50,000 Sq Ft","2026","Loop","32","42","41.87991","-87.63323","(41.87991, -87.63323)"
"250042","2245 W Jackson Blvd","60612","Municipal","> 250,000 Sq Ft","2025","Near West Side","28","27","41.87688","-87.68324","(41.87688, -87.68324)"
"252322","4938 W Quincy St","60644","Residential","> 50,000 Sq Ft","2025","Austin","25","28","41.87768","-87.74813","(41.87768, -87.74813)"
"251749","4055 W Arthington St","60624","Municipal","> 50,000 Sq Ft","2025","West Garfield Park","26","24","41.86972","-87.72684","(41.86972, -87.72684)"
"251867","1840 W Ohio St","60622","Municipal","> 50,000 Sq Ft","2027","West Town","24","1","41.8926","-87.67396","(41.8926, -87.67396)"
"251796","5050 S East End Ave","60615","Residential","> 50,000 Sq Ft","2025","Kenwood","39","5","41.80323","-87.58573","(41.80323, -87.58573)"
"254157","5114 N Christiana Ave","60625","Commercial","> 50,000 Sq Ft","2025","North Park","13","39","41.88425","-87.63245","(41.88425, -87.63245)"
"159893","6424 6444 S Stonyisland Ave","60637","Residential","> 50,000 Sq Ft","2026","Woodlawn","42","5","41.77785","-87.58641","(41.77785, -87.58641)"
"172608","1737 - 1829 W Fullerton Ave","60614","Commercial","> 50,000 Sq Ft","2027","Lincoln Park","7","32","41.92477","-87.67194","(41.92477, -87.67194)"
"251325","2311 N Racine Ave","60614","Commercial","> 50,000 Sq Ft","2027","Lincoln Park","7","43","41.9239","-87.65818","(41.9239, -87.65818)"
"242279","1100 N Lakeshore Dr","60611","Residential","> 50,000 Sq Ft","2027","Near North Side","8","2","41.9026","-87.62511","(41.9026, -87.62511)"
"158407","226 W Jackson Blvd","60606","Residential","> 50,000 Sq Ft","2025","Loop","32","42","41.87843","-87.63488","(41.87843, -87.63488)"
"100733","840 S Canal St","60607","Commercial","> 250,000 Sq Ft","2025","Near West Side","28","25","41.87094","-87.64013","(41.87094, -87.64013)"
"251732","3400 W 65th Place","60629","Municipal","> 50,000 Sq Ft","2025","Chicago Lawn","66","23","41.77475","-87.70858","(41.77475, -87.70858)"
"251627","6220 N Olcott Ave","60631","Municipal","> 50,000 Sq Ft","2025","Norwood Park","10","41","41.99398","-87.81421","(41.99398, -87.81421)"
"256729","6018 S Karlov Avenue","60629","Commercial","> 50,000 Sq Ft","2027","West Lawn","65","13","41.78269","-87.69868","(41.78269, -87.69868)"
"255022","505 N Green St","60642","Residential","> 50,000 Sq Ft","2024","West Town","24","27","41.89133","-87.64871","(41.89133, -87.64871)"
"255977","3905-29 N. Western Ave.","60618","Residential","> 50,000 Sq Ft","2025","North Center","5","47","41.88425","-87.63245","(41.88425, -87.63245)"
"251610","5120 N Winthrop Ave","60640","Municipal","> 50,000 Sq Ft","2025","Uptown","3","48","41.97579","-87.65807","(41.97579, -87.65807)"
"251379","2722 S King Dr","60616","Commercial","> 50,000 Sq Ft","2027","Douglas","35","4","41.8438","-87.61827","(41.8438, -87.61827)"
"251714","2103 N Lamon Ave","60639","Municipal","> 50,000 Sq Ft","2025","Belmont Cragin","19","36","41.91902","-87.74788","(41.91902, -87.74788)"
