"Data Year","ID","Property Name","Address","ZIP Code","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2016","124308","Walmart Supercenter #01-5965","10900 S. Doty Avenue","60628","PULLMAN","Wholesale Club/Supercenter","155,765","2013","1","36","13,898,164.4","7,139,806.7",,,,"135.1","328.3","139.8","331","2,941","18.9","41.693399","-87.598728","POINT (-87.598728 41.693399)"
"2016","251322","990 West Fullerton Building","990 West Fullerton Ave","60614","LINCOLN PARK","College/University","91,963","1980","1",,"3,788,101.3","2,580,744.1",,,,"69.3","158.8","73.8","163.6","835.3","9.1","41.925418","-87.653232","POINT (-87.653232 41.925418)"
"2016","101770","10 and 30 South Wacker","10 South Wacker Drive","60606","LOOP","Office","2,662,457","1983","1","77","180,688,908.7","2,207,050.5",,,"76,507.2","68.7","214","68.7","214","33,427.7","12.6","41.8816073","-87.63751717","POINT (-87.63751717 41.8816073)"
"2016","175474","West Side Realty Corporation (300 S. Ashland Ave.)","300 S. Ashland Ave.","60612","NEAR WEST SIDE","Office","65,885","1968","1","24","6,175,665.4",,,,,"93.7","294.3","93.7","294.3","1,138.3","17.3","41.877588","-87.667672","POINT (-87.667672 41.877588)"
"2016","251233","Clybourn","2601 N. Clybourn Street","60614","LINCOLN PARK","Retail Store","144,180","1996","1","75","7,043,787.4","543,924.8",,,,"52.6","157.4","52.7","156.4","1,327.2","9.2","41.93117753","-87.67426011","POINT (-87.67426011 41.93117753)"
"2016","253963","Montclare Senior Residences of Avalon Park Phase II","1210 E. 78th Street","60619","Avalon Park","Multifamily Housing","102,573","2015","1","98","1,752,430.8","3,515,352.3",,,,"51.4","89.6","54.9","93.4","509.7","5","41.74401302","-87.60549928","POINT (-87.60549928 41.74401302)"
"2016","104261","500 W. Belmont Apartments","500 W. Belmont Ave.","60642","LAKE VIEW","Multifamily Housing","54,927","1965","1","58","915,647.7","3,702,833.9",,,,"84.1","123.1","88.5","123.4","365.4","6.7","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2016","175590","Hampton Inn Chicago Downtown/N Loop/Michigan Ave","68 East Wacker Place","60601","LOOP","Hotel","85,961","1928","1","45","4,987,743.5","3,319,089",,,,"96.6","222.7","99.8","227.4","1,095.6","12.7","41.88570364","-87.62407853","POINT (-87.62407853 41.88570364)"
"2016","260132","Q11970","2401 W Grace","60618","NORTH CENTER","Office","93,084","2007","1","90","3,050,289.1","3,191,239.3",,,,"67.1","138.9","71.6","143.7","733.5","7.9","41.95003548","-87.68877942","POINT (-87.68877942 41.95003548)"
"2016","251764","Parkside Nine Phase II Condominium","544 W Oak","60610","NEAR NORTH SIDE","Multifamily Housing","166,322","2011","1","97","2,453,377.1","6,240,754.1",,,,"52.3","85.7","56.2","89.9","783.7","4.7","41.90045766","-87.64172846","POINT (-87.64172846 41.90045766)"
"2016","251277","Scientific Games-2718 Roscoe","2718 Roscoe St","60618","AVONDALE","Office","121,666","2012","1","47","9,637,995.8","1,083,308.6",,,,"88.1","258.1","88.9","258.9","1,834","15.1","41.942829","-87.696215","POINT (-87.696215 41.942829)"
"2016","250091","Judge Green Apartments","4030 S. Lake park Ave","60653","OAKLAND","Multifamily Housing","130,000","1967","1","78","2,016,363","8,193,820.4",,,,"78.5","114.9","84.1","120.8","806.9","6.2","41.82184335","-87.6024592","POINT (-87.6024592 41.82184335)"
"2016","171880","Noble Street Lofts Condominium Association, Inc.","515-517 N. Noble St.","60642","WEST TOWN","Multifamily Housing","66,000","1990","1","76","1,614,933.7","2,046,254.5",,,,"55.5","109.4","57.6","109.7","406.4","6.2","41.89983093","-87.65764114","POINT (-87.65764114 41.89983093)"
"2016","250139","Domestic Violence Courthouse","555 W. Harrison St.","60607","NEAR WEST SIDE","Courthouse","187,268","1890","1","65","10,014,134.7","8,144,737.6",,,,"97","213.6","103.9","220.8","2,278.4","12.2","41.874353","-87.641661","POINT (-87.641661 41.874353)"
"2016","160085","The Clare","55 E Pearson St.","60611","NEAR NORTH SIDE","Multifamily Housing","628,040","2008","1","1","31,261,006.7","53,465,505.6",,,,"134.9","245.7","141.6","251.6","8,601.9","13.7","41.89727458","-87.62635153","POINT (-87.62635153 41.89727458)"
"2016","253964","7150 Cyril Court Apartments","7150 S. Cyril Court","60649","SOUTH SHORE","Multifamily Housing","73,354","1929","1","52","1,191,238.4","6,896,702.6",,,,"110.3","149.7","122.1","162.2","585.9","8","41.76263015","-87.57255287","POINT (-87.57255287 41.76263015)"
"2016","252125","2013-Chicago Downtown - Franklin/Madison (RR ONLY)","1 South Franklin Street","60606","LOOP","Hotel","140,633","2009","1","4","8,507,637.8","9,351,887.1",,"2,786,627.7",,"146.8","279.6","149.7","282.7","2,211.7","15.7","41.88154158","-87.63527411","POINT (-87.63527411 41.88154158)"
"2016","158224","The Shoreham Apartments","400 E. South Water St.","60601","LOOP","Multifamily Housing","528,552","2005","1",,"14,081,276.2","25,763,361",,,,"75.4","134.8","79.6","139.2","3,963.9","7.5","41.88673811","-87.61677077","POINT (-87.61677077 41.88673811)"
