Compliance Status,Data Year,Evanston Building ID,Property Name,Address 1,Postal Code,Primary Property Type - Self Selected,Property GFA - Self-Reported (ft²),Property Type,Year Built,Number of Buildings,ENERGY STAR Score,ENERGY STAR Certification - Year(s) Certified,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),Green Power - Onsite (kWh),Green Power - Offsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Water Score (Multifamily Only),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Total GHG Emissions (Kg CO2e),GHG Intensity (kg CO2e/sq ft),GHG Emissions Notes,ObjectId
Compliant,2019,104193,DEWEY ELEMENTARY SCHOOL,1551 WESLEY,60201,K-12 School,65170,Type 2,1940,1,51,Not Available,4727160,7300120,72.5,112,4603349,7170119,70.6,110,391325,391325,33920,Not Available,391325,"32,682",Not Available,0,Not Available,Not Available,573,8.8,395726,6.1,,1
Compliant,2019,104195,St. Mary's Malankara Catholic Church,1208 Ashland Ave,60202,Worship Facility,22068,Type 3,1912,1,29,Not Available,1139266,1237644,51.6,56.1,1081819,1177325,49,53.3,6936,6936,11156,Not Available,6936,"10,582",Not Available,0,Not Available,Not Available,112,5.08,63075,2.9,,2
Compliant,2019,104275,Evanston-Main,126 Main St,60202,Multifamily Housing,20000,Type 3,1935,1,Not Available,Not Available,462486,665725,23.1,33.3,,,,,30165,30165,3596,Not Available,29074,Not Available,Not Available,0,Not Available,Not Available,1092,54.61,35715,1.8,,3
Compliant,2019,104359,Bleeker Hall,803-809 Noyes,60201,Multifamily Housing,50813,Type 2,1920,1,67,Not Available,4961748,5845252,97.6,115,4854451,5724208,95.5,112.7,106417,106417,45987,Not Available,105013,"44,962",Not Available,0,Not Available,65,2398,47.19,302876,6,,4
Compliant,2019,104527,AG Custer LLC,800 Custer Ave,60202,Multifamily Housing,22961,Type 3,1960,1,86,Not Available,1294108,1823978,56.4,79.4,1279412,1792877,55.7,78.1,77904,77904,10283,Not Available,75280,"10,226",Not Available,0,Not Available,66,517,22.53,97531,4.2,,5
Compliant,2019,105023,Garden Ridge Lofts,1834 Ridge Avenue,60201,Multifamily Housing,55974,Type 2,1999,1,96,Not Available,3431112,4601300,61.3,82.2,,,,,167247,167247,28605,Not Available,162635,Not Available,Not Available,0,Not Available,72,1382,24.68,244061,4.4,,6
Compliant,2019,105088,Autobarn Place,222 Hartrey Ave,60202,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",101200,Type 1,1961,1,Not Available,Not Available,5773124,9505238,57,93.9,5600839,9324339,55.3,92.1,576697,576697,38054,Not Available,576697,"36,332",Not Available,0,Not Available,Not Available,776,7.67,519800,5.1,,7
Compliant,2019,105106,Fountain Court Condominium Association,830 Hinman Ave,60201,Multifamily Housing,63416,Type 2,1922,1,21,Not Available,6199381,8924624,97.8,140.7,6081993,8714865,95.9,137.4,404501,404501,48192,Not Available,390014,"47,513",Not Available,0,Not Available,96,1138,17.94,478792,7.6,,8
Compliant,2019,105189,203 Kedzie,203 Kedzie,60202,Multifamily Housing,62096,Type 2,1923,1,41,Not Available,5960923,6800408,96,109.5,5846561,6661889,94.2,107.3,90678,90678,56515,Not Available,87590,"55,477",Not Available,0,Not Available,89,1070,17.23,350129,5.6,,9
Compliant,2019,105337,HAVEN MIDDLE SCHOOL,2417 PRAIRIE AVENUE,60201,K-12 School,142114,Type 1,1926,1,90,Not Available,7169923,10960532,50.5,77.1,6922211,10700434,48.7,75.3,574797,574797,52087,Not Available,574797,"49,610",Not Available,0,Not Available,Not Available,646,4.54,593288,4.2,,10
Compliant,2019,105438,WILLARD ELEMENTARY SCHOOL,2300 HURD AVENUE,60202,K-12 School,62635,Type 2,1922,1,57,Not Available,4472472,6427810,71.4,102.6,4314390,6261824,68.9,100,290021,290021,34829,Not Available,290021,"33,248",Not Available,0,Not Available,Not Available,406,6.48,344753,5.5,,11
Compliant,2019,105606,2530 Crawford,2530 Crawford Ave,60201,Office,20600,Type 3,1972,1,58,Not Available,1713179,2833631,83.2,137.6,1658244,2764562,80.5,134.2,173303,173303,11219,Not Available,171396,"10,734",Not Available,0,Not Available,Not Available,244,11.84,155052,7.5,,12
Compliant,2019,105689,1406 - 1408 ELMWOOD APARTMENTS,1406 Elmwood Ave,60201,Multifamily Housing,20664,Type 3,1930,1,80,Not Available,1708850,2062480,82.7,99.8,1697826,2050905,82.2,99.3,44915,44915,15556,Not Available,44915,"15,446",Not Available,0,Not Available,78,691,33.45,107367,5.2,,13
Compliant,2019,105769,Custer Hinman,744 Hinman Ave,60201,Multifamily Housing,31464,Type 3,1920,1,Not Available,Not Available,1668352,2087161,53,66.3,,,,,56170,56170,14767,Not Available,54065,Not Available,Not Available,0,Not Available,Not Available,606,19.26,109376,3.5,,14
Compliant,2019,105853,LINCOLNWOOD ELEMENTARY SCHOOL,2600 COLFAX,60201,K-12 School,61039,Type 2,1949,1,85,Not Available,3216973,4817883,52.7,78.9,3096450,4689068,50.7,76.8,241176,241176,23941,Not Available,240796,"22,749",Not Available,0,Not Available,Not Available,344,5.64,260013,4.3,,15
Compliant,2019,105938,822 Forest,822 Forest Ave,60202,Multifamily Housing,20268,Type 3,1920,1,Not Available,Not Available,2133457,2561221,105.3,126.4,2125761,2551871,104.9,125.9,53775,53775,19500,Not Available,53563,"19,430",Not Available,0,Not Available,Not Available,585,28.87,133194,6.6,,16
Compliant,2019,106250,Central Station,1720 Central St,60201,Multifamily Housing,120841,Type 1,2013,1,80,Not Available,5298303,10266712,43.8,85,5188813,10023827,42.9,83,787723,787723,26106,Not Available,766299,"25,742",Not Available,0,Not Available,79,2249,18.61,572581,4.7,,17
Compliant,2019,106267,Lotus Point Properties,2620 Central Street,60201,Multifamily Housing,28388,Type 3,1964,1,Not Available,Not Available,1770034,2369934,62.4,83.5,1745491,2319967,61.5,81.7,85647,85647,14778,Not Available,81595,"14,671",Not Available,0,Not Available,Not Available,695,24.49,125672,4.4,,18
Compliant,2019,106269,WAREHOUSE,2017 Greenleaf St,60202,Non-Refrigerated Warehouse,44000,Type 3,2001,1,23,Not Available,4009919,5397123,91.1,122.7,3897845,5261290,88.6,119.6,198745,198745,33318,Not Available,195705,"32,301",Not Available,0,Not Available,Not Available,127,2.9,286447,6.5,,19
Compliant,2019,106353,716-720 Clark Apartments,716-720 Clark,60201,Multifamily Housing,28920,Type 3,1920,1,Not Available,Not Available,3139731,4354570,108.6,150.6,3139731,4354570,108.6,150.6,177165,177165,25352,Not Available,177165,"25,352",Not Available,0,Not Available,Not Available,1248,43.17,232250,8,,20
Compliant,2019,106435,Kass Management Services (1633 Hinman Ave),1633-41 Hinman Ave,60201,Multifamily Housing,43600,Type 3,1909,1,Not Available,Not Available,3778268,4743597,86.7,108.8,3702217,4625823,84.9,106.1,130031,130031,33346,Not Available,123680,"32,802",Not Available,0,Not Available,Not Available,991,22.73,248744,5.7,,21
Compliant,2019,106516,Whole Foods EVN,1640 Chicago Avenue,60201,Supermarket/Grocery Store,32014,Type 3,1997,1,29,Not Available,17688374,32535664,552.5,1016.3,17596170,32277492,549.6,1008.2,2338448,2338448,97096,Not Available,2311424,"97,096",Not Available,0,Not Available,Not Available,6994,218.47,1803866,56.3,,22
Compliant,2019,106518,Hinman Court Apartments,718-24 Hinman Avenue,60202,Multifamily Housing,43632,Type 3,1920,1,78,Not Available,3053130,3684756,70,84.5,3036061,3654976,69.6,83.8,80216,80216,27794,Not Available,78230,"27,691",Not Available,0,Not Available,63,1145,26.25,191816,4.4,,23
