"OSEBuildingID","DataYear","BuildingName","BuildingType","TaxParcelIdentificationNumber","Address","City","State","ZipCode","Latitude","Longitude","Neighborhood","CouncilDistrictCode","YearBuilt","NumberofFloors","NumberofBuildings","PropertyGFATotal","PropertyGFABuildings","PropertyGFAParking","SelfReportGFATotal","SelfReportGFABuildings","SelfReportParking","ENERGYSTARScore","SiteEUIWN(kBtu/sf)","SiteEUI(kBtu/sf)","SiteEnergyUse(kBtu)","SiteEnergyUseWN(kBtu)","SourceEUIWN(kBtu/sf)","SourceEUI(kBtu/sf)","EPAPropertyType","LargestPropertyUseType","LargestPropertyUseTypeGFA","SecondLargestPropertyUseType","SecondLargestPropertyUseTypeGFA","ThirdLargestPropertyUseType","ThirdLargestPropertyUseTypeGFA","Electricity(kWh)","SteamUse(kBtu)","NaturalGas(therms)","ComplianceStatus","ComplianceIssue","Electricity(kBtu)","NaturalGas(kBtu)","TotalGHGEmissions","GHGEmissionsIntensity","Demolished"
"1","2024","MAYFLOWER PARK HOTEL","NonResidential","659000030","405 OLIVE WAY","SEATTLE","WA","98101","47.6122","-122.33799","DOWNTOWN","7","1927","12","1","88,434","88,434","0","115,387","115,387","0","59","62.20000076","61.70000076","7,113,958","7,172,158","122.9000015","121.4000015","Hotel","Hotel","115,387","NA",,"NA",,"1,045,040","1,949,686","15,986","Not Compliant","Default Data","3,565,676","1,598,590","263.3","2.98","false"
"2","2024","PARAMOUNT HOTEL","NonResidential","659000220","724 PINE ST","SEATTLE","WA","98101","47.61307","-122.33361","DOWNTOWN","7","1996","11","1","103,566","88,502","15,064","103,566","88,502","15,064","85","71.90000153","71.5","6,330,664","6,362,478","128.6999969","128.3000031","Hotel","Hotel","88,502","Parking","15,064","NA",,"787,838",,"36,426","Compliant","No Issue","2,688,104","3,642,560","208.6","2.36","false"
"3","2024","WESTIN HOTEL (Parent Building)","NonResidential","659000475","1900 5TH AVE","SEATTLE","WA","98101","47.61367","-122.33822","DOWNTOWN","7","1969","41","3","956,110","759,392","196,718","947,059","827,566","119,493","71","82","81.69999695","67,613,264","67,852,608","171.8000031","171.5","Hotel","Hotel","827,566","Parking","117,783","Swimming Pool",,"11,279,080","23,256,386","58,726","Compliant","No Issue","38,484,221","5,872,650","2,418.2","3.18","false"
"5","2024","HOTEL MAX","NonResidential","659000640","620 STEWART ST","SEATTLE","WA","98101","47.61412","-122.33664","DOWNTOWN","7","1926","10","1","61,320","61,320","0","61,320","61,320","0","50","87.19999695","86","5,273,981","5,346,375","174.6999969","171.3999939","Hotel","Hotel","61,320","NA",,"NA",,"796,976","1,389,935","11,648","Compliant","No Issue","2,719,282","1,164,760","190.1","3.1","false"
"8","2024","WARWICK SEATTLE HOTEL","NonResidential","659000970","401 LENORA ST","SEATTLE","WA","98121","47.61395","-122.34087","DOWNTOWN","7","1980","18","1","175,580","113,580","62,000","203,942","123,445","80,497","87","97.59999847","97.09999847","11,983,959","12,042,731","167.6000061","167.1999969","Hotel","Hotel","123,445","Parking","68,009","Swimming Pool",,"1,349,025",,"73,811","Compliant","No Issue","4,602,873","7,381,080","417.9","3.68","false"
"9","2024","WEST PRECINCT (SEATTLE POLICE)","Nonresidential COS","660000560","810 VIRGINIA ST","SEATTLE","WA","98101","47.61623","-122.33657","DOWNTOWN","7","1999","2","1","97,288","60,090","37,198","91,726","50,755","40,971",,"168.5","167.8000031","8,515,194","8,554,144","379.2999878","379.3999939","Police Station","Police Station","50,755","Parking","40,971","NA",,"1,727,755",,"26,201","Compliant","No Issue","5,895,100","2,620,090","173.1","2.88","false"
"10","2024","CAMLIN WORLDMARK HOTEL","NonResidential","660000825","1619 9TH AVE","SEATTLE","WA","98101","47.6139","-122.33283","DOWNTOWN","7","1926","11","1","83,008","83,008","0","83,008","83,008","0","10","105.4000015","104.5","8,676,845","8,752,594","196.8000031","195.8999939","Hotel","Hotel","83,008","NA",,"NA",,"1,197,259",,"45,918","Compliant","No Issue","4,085,048","4,591,800","267.1","3.22","false"
"11","2024","PARAMOUNT THEATRE","NonResidential","660000955","901 PINE ST","SEATTLE","WA","98101","47.61327","-122.33136","DOWNTOWN","7","1926","8","1","102,761","102,761","0","102,761","102,761","0",,"84","82.80000305","8,510,394","8,633,076","163.5","162.1000061","Other - Entertainment/Public Assembly","Other - Entertainment/Public Assembly","102,761","NA",,"NA",,"1,191,932","3,978,462","4,651","Compliant","No Issue","4,066,872","465,060","370.5","3.61","false"
"12","2024","COURTYARD BY MARRIOTT - PIONEER SQ","NonResidential","939000080","612 2ND AVE","SEATTLE","WA","98104","47.60294","-122.33263","DOWNTOWN","1","1904","15","1","163,984","163,984","0","163,984","163,984","0","58","89.90000153","89.69999695","14,715,816","14,746,258","175.6000061","175.5","Hotel","Hotel","163,984","NA",,"NA",,"2,230,687",,"71,047","Compliant","No Issue","7,611,104","7,104,710","420.7","2.57","false"
"13","2024","LYON BUILDING","Multifamily MR (5-9)","939000105","607 3RD AVE","SEATTLE","WA","98104","47.60284","-122.33184","DOWNTOWN","1","1910","6","1","63,712","62,216","1,496","56,132","56,132","0","60",,"56.90000153","3,194,788",,,"120.4000015","Multifamily MR (5-9)","Multifamily Housing","38,407","Office","12,139","Medical Office","5,586","558,782",,"8,464","Compliant","No Issue","1,906,566","846,370","55.9","0.9","false"
