X,Y,OBJECTID,PID,SSL,PMPROPERTYID,UBID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,BEPS,BEPS_METRIC_TYPE,BEPS_PROPERTY_GROUP,PROPERTY_BEPS_METRIC_YEAR,PROPERTY_BEPS_METRIC,MEETS_BEPS,DISTANCE_FROM_BEPS_ESTIMATED,PERFORMANCE_REQUIREMENT_EST,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,LASTUPDATE,APPROVED_COMPLIANCE_PATHWAY
-8577353.3852,4707663.1223,557834,PM10016666,0028 0000,10016666,,Varsity on K (vy67),,,950 24TH ST NW,"GATEWAY BAILEY, INC",2,950 24th St NW,WASHINGTON,DC,20037,1985,Multifamily Housing,120431,120431.0,66,ENERGYSTARSCORE,Multifamily Housing,2019,61,Does Not Meet BEPS,-3.49%,-3.49%,38.90212856,-77.05167413,395517.72024817,137142.85735817,274741,,{483D37E4-3A86-06E8-E063-782F520AD4B5},2025/08/05 00:00:00+00,Standard Target Pathway
-8574623.3538,4713307.7665,557835,PM10147506,2911 0802,10147506,,CubeSmart - #598 (1200 Upshur),,,1200 UPSHUR ST NW,YSI XXXIII LLC,4,1200 Upshur Street NW,WASHINGTON,DC,20011,1945,Self-Storage Facility,32940,63085.0,21,WEATHERNORMALZEDSOUREUI_KBTUFT,Nonrefrigerated warehouse (Self-Storage Facility),2019,25.3,Does Not Meet BEPS,-17.00%,-17.00%,38.94157854,-77.02714985,397646.28982211,141521.22031409,223666,,{483D37E4-3A87-06E8-E063-782F520AD4B5},2026/01/09 00:00:00+00,Incomplete
-8580437.2675,4714438.8968,557836,PM10179953,1770 0026,10179953,,Frequency,,,4000 BRANDYWINE ST NW,4000 BRANDYWINE STREET NW GROUND OWNER LLC,3,4000 Brandywine Street NW,WASHINGTON,DC,20016,1964,Multifamily Housing,59068,51135.0,66,ENERGYSTARSCORE,Multifamily Housing,2019,87,Meets BEPS,,,38.94948128,-77.07937711,393119.29970865,142401.13667941,265176,,{483D37E4-3A88-06E8-E063-782F520AD4B5},2025/08/05 00:00:00+00,Not in Compliance Cycle
-8574695.9051,4709885.9234,557837,PM10183045,0304 2506,10183045,,Lincoln Condominium,,,2001 12TH ST NW,THE LINCOLN CONDO,1,2001 12th St NW,WASHINGTON,DC,20009,2001,Multifamily Housing,133735,161876.0,66,ENERGYSTARSCORE,Multifamily Housing,2019,77,Meets BEPS,,,38.91766616,-77.02780159,397588.97991783,138866.75712509,284156,,{483D37E4-3A89-06E8-E063-782F520AD4B5},2025/11/23 00:00:00+00,Not in Compliance Cycle
-8575177.9921,4715507.7182,557838,PM10288675,2801 0095,10288675,,Longfellow Apartments,,,5521 COLORADO AVE NW,5521 COLARDO APARTMENTS LLC,4,5521 Colorado Avenue NW,WASHINGTON,DC,20011,1932,Multifamily Housing,66224,55075.0,66,ENERGYSTARSCORE,Multifamily Housing,2019,62,Does Not Meet BEPS,-2.82%,-2.82%,38.95694789,-77.03213225,397214.94966047,143227.49719751,254814,,{483D37E4-3A8A-06E8-E063-782F520AD4B5},2025/08/05 00:00:00+00,Incomplete
-8574549.3463,4718083.2227,557839,PM10290459,2967 0077,10290459,,Walter Reed Apartments,,,6939 GEORGIA AVE NW,6939 GEORGIA APARTMENTS LLC,4,6939 Georgia Avenue NW,WASHINGTON,DC,20012,1967,Multifamily Housing,59616,59616.0,66,ENERGYSTARSCORE,Multifamily Housing,2019,33,Does Not Meet BEPS,-19.83%,-19.83%,38.9749367,-77.02648503,397704.99961177,145224.26698993,253848,,{483D37E4-3A8B-06E8-E063-782F520AD4B5},2025/08/22 00:00:00+00,Performance Pathway
-8573885.1954,4706759.5022,557840,PM1029531,0457 0039,1029531,,600 E Street,,,600 E ST NW,6TH & E ASSOCIATES LLC,2,"600 E Street, NW",WASHINGTON,DC,20004,1975,Office,438018,356387.0,153,WEATHERNORMALZEDSOUREUI_KBTUFT,Office_all,2019,33.6,Meets BEPS,,,38.89581119,-77.02051886,398220.0102831,136440.51021698,238715,,{483D37E4-3A8C-06E8-E063-782F520AD4B5},2025/08/05 00:00:00+00,Not in Compliance Cycle
-8576505.23,4707527.2512,557841,PM1030273,0118 0029,1030273,,1919 Penn Ave,,,1912 I ST NW,1919 PENNSYLVANIA ASSOCIATE LLC,2,1919 Pennsylvania Ave. NW,WASHINGTON,DC,20006,1978,Office,381951,265243.0,71,ENERGYSTARSCORE,Office_all,2019,71,Meets BEPS,,,38.90117869,-77.04405503,396178.55972991,137037.0676356,241082,,{483D37E4-3A8D-06E8-E063-782F520AD4B5},2025/08/05 00:00:00+00,Not in Compliance Cycle
-8577143.26,4708273.4306,559554,PM1030284,0050 0086,1030284,,1255 23rd Street,,,1255 23RD ST NW,DWF V 1255 23RD STREET LLC,2,"1255 23rd Street, NW",WASHINGTON,DC,20037,1983,Office,83314,358737.0,71,ENERGYSTARSCORE,Office_all,2019,73,Meets BEPS,,,38.90639501,-77.04978655,395681.70961708,137616.37681257,300164,,{483D37E4-3A8E-06E8-E063-782F520AD4B5},2025/08/05 00:00:00+00,Not in Compliance Cycle
-8575616.8445,4708120.9212,559555,PM1034322,0197 0853,1034322,,American Chemical Society - Headquarters,,,1155 16TH ST NW,AMERICAN CHEMICAL SOCIETY,2,"1155 16th Street, N.W.",WASHINGTON,DC,20036,1954,Office,144462,115470.0,71,ENERGYSTARSCORE,Office_all,2019,84,Meets BEPS,,,38.90532889,-77.03607453,396870.98969431,137497.46952234,278895,,{483D37E4-3A8F-06E8-E063-782F520AD4B5},2025/08/05 00:00:00+00,Not in Compliance Cycle
