"unique_identifier","Parcel Number","Building Name","Building Address","Postal Code","Floor Area","Category","Property Type - Self Selected","PIM Link","Year Built","Energy Audit Due Date","Energy Audit Status","Benchmark Year","ENERGY STAR Score","Site EUI (kBtu/ft2)","Source EUI (kBtu/ft2)","Percent Better than National Median Site EUI","Weather Normalized Site EUI (kBtu/ft2)","Weather Normalized Source EUI (kBtu/ft2)","Total GHG Emissions (Metric Tons CO2e)","Total GHG Emissions Intensity (kGCO2e/ft2)","Electricity Use - Grid Purchase (kWh)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","Site Energy Use (kBtu)","Benchmark Status","Reason for Exemption","point","longitude","latitude","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"0287/001_2021","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2021",,"18","46.1","-0.7","18","46.1","34.3","1.1","145,933.3","77,533",,"575,457.4","2021 - Complied",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2011","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2011",,,,,,,,,,,,,"2011 - Violation - Insufficient Data",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2020","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2020",,"24","59.2","-0.609","24","59.2","49","1.5","181,881.6","147,882",,"768,462.2","2020 - Complied",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2012","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2012",,,,,,,,,,,,,"2012 - Complied",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2019","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2019",,"24.4","60.4","-0.605","25.3","61.3","49.9","1.6","186,219","145,899",,"781,278.2","2019 - Complied",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2013","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2013",,,,,,,,,,,,,"2013 - Violation - Did Not Report",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2018","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2018","69","53.2","118.5","-0.235","52.7","118","110.1","3.4","335,645.3","554,774",,"1,699,995.7","2018 - Complied",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2014","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2014",,,,,,,,,,,,,"2014 - Violation - Did Not Report",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2015","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2015","85","51.8","113.9",,"51.8","113.9","118.7","3.7",,,,,"2015 - Complied",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
"0287/001_2017","0287/001","251 Kearny Building","251 KEARNY ST","94108","31,978","Office","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0287/001","1908","04/01/2030","Upcoming","2017","77","52.4","133.4","-0.283","53.8","134.9","116.2","3.6",,,,,"2017 - Complied",,"POINT (-122.40422921 37.790548542)","-122.40422920955","37.7905485421","Financial District/South Beach","3","2026/01/08 11:03:56 AM","2026/01/09 05:04:40 PM"
